Dimension,GapCategory,Direction,Urgency,RecommendationText
Power,Medium,UserLower,Yellow,"You are more egalitarian than the target culture. Action: Show more deference to senior figures. Use titles and formal address. Acknowledge hierarchy in decision-making. Do not assume you can bypass chain of command or speak freely to anyone regardless of rank."
Power,Low,Aligned,Green,"Your power orientation is closely aligned with the target culture. You naturally understand their approach to authority, titles, and decision-making. This will facilitate smooth professional interactions."
Structure,High,UserHigher,Red,"You are significantly more collectivist than the target culture. Action: Do not expect group consensus or collective decision-making. Celebrate individual achievements openly. Respect personal autonomy and self-reliance. Avoid framing decisions in terms of 'what the group wants.' Understand that individual initiative is rewarded, not conformity."
Structure,High,UserLower,Red,"You are significantly more individualist than the target culture. Action: Prioritize group harmony over individual recognition. Consult the group before making decisions. Avoid standing out or claiming individual credit. Understand that loyalty to the group is paramount—individual achievement at the expense of the group is seen as selfish."
Structure,Medium,UserHigher,Yellow,"You are more collectivist than the target culture. Action: Give more space for individual initiative. Recognize personal achievements openly. Reduce emphasis on group consensus. Allow team members more autonomy in how they accomplish tasks."
Structure,Medium,UserLower,Yellow,"You are more individualist than the target culture. Action: Increase emphasis on group harmony. Consult more broadly before making decisions. Share credit openly. Understand that group loyalty matters more than individual recognition here."
Structure,Low,Aligned,Green,"Your approach to individualism versus collectivism is closely aligned with the target culture. You naturally understand their balance between individual initiative and group harmony. This will facilitate smooth team dynamics."
Competition,High,UserHigher,Red,"You are significantly more competitive than the target culture. Action: Avoid aggressive self-promotion or zero-sum framing. Do not celebrate 'beating' colleagues or partners. Frame success in collaborative terms. Understand that here, cooperation is seen as strength, not weakness. Pushing too hard for individual wins will damage relationships."
Competition,High,UserLower,Red,"You are significantly more cooperative than the target culture. Action: Be prepared for direct competition for resources, recognition, and advancement. Demonstrate your individual achievements clearly. Understand that healthy competition is valued here—do not mistake it for hostility. Push for your goals assertively."
Competition,Medium,UserHigher,Yellow,"You are more competitive than the target culture. Action: Soften competitive framing. Emphasize collaboration and shared success. Avoid aggressive self-promotion. Build alliances rather than competing head-to-head."
Competition,Medium,UserLower,Yellow,"You are more cooperative than the target culture. Action: Be more assertive in pursuing your goals. Highlight your individual contributions clearly. Understand that competition is seen as healthy motivation here, not as a threat to relationships."
Competition,Low,Aligned,Green,"Your approach to competition versus cooperation is closely aligned with the target culture. You naturally understand their balance between individual drive and collaborative success. This will facilitate smooth professional relationships."
Communication,High,UserHigher,Red,"You prefer significantly more high-context communication than the target culture. Action: Be explicit and direct. Say exactly what you mean. Avoid hints, implications, or expecting others to 'read between the lines.' Ask for clarification if something is unclear. Do not be offended by bluntness—it is efficiency, not rudeness."
Communication,High,UserLower,Red,"You are significantly more low-context than the target culture. Action: Pay close attention to non-verbal cues, tone, silence, and what is NOT being said. Avoid blunt directness—it will be seen as rude or aggressive. Use diplomatic, indirect language. Never force someone to say 'no' explicitly. Learn to read the room."
Communication,Medium,UserHigher,Yellow,"You prefer more high-context communication than the target culture. Action: Increase your directness and explicitness. Reduce reliance on implied meanings. Ask clarifying questions. Do not expect others to pick up on subtle cues."
Communication,Medium,UserLower,Yellow,"You are more low-context than the target culture. Action: Soften your directness. Pay more attention to non-verbal signals. Use more diplomatic language. Avoid forcing explicit 'yes' or 'no' answers."
Communication,Low,Aligned,Green,"Your communication style is closely aligned with the target culture. You naturally understand their balance between explicit and implicit communication. This will facilitate smooth interpersonal interactions."
Action,High,UserHigher,Red,"You are significantly more 'doing'-oriented than the target culture. Action: Do not lead with achievements, titles, or productivity metrics. Invest time in relationships without an immediate business agenda. Understand that who you ARE matters more than what you DO here. Avoid rushing conversations toward 'results.'"
Action,High,UserLower,Red,"You are significantly more 'being'-oriented than the target culture. Action: Lead with concrete achievements, measurable results, and clear deliverables. Be prepared to articulate your value proposition quickly. Understand that here, your worth is measured by what you accomplish, not by who you are as a person."
Action,Medium,UserHigher,Yellow,"You are more 'doing'-oriented than the target culture. Action: Invest more time in relationship-building without immediate business goals. Slow down conversations. Show interest in people beyond their professional utility."
Action,Medium,UserLower,Yellow,"You are more 'being'-oriented than the target culture. Action: Emphasize concrete achievements and measurable outcomes. Be prepared to articulate your value clearly and quickly. Understand that productivity is highly valued here."
Action,Low,Aligned,Green,"Your approach to being versus doing is closely aligned with the target culture. You naturally understand their balance between relationship-building and results-orientation. This will facilitate smooth professional interactions."
