Dimension,GapCategory,Direction,Urgency,RecommendationText
HumaneOrientation,Medium,UserLower,Yellow,"You are more pragmatic than the target culture. Action: Increase your focus on relationships. Show appreciation for others, offer help without expecting anything in return, and prioritize being a 'good person' over just being a 'smart worker'."
HumaneOrientation,Low,Aligned,Green,"Your humane orientation aligns well with the target culture. You naturally understand their balance between altruism and pragmatism. This will facilitate smooth, authentic interpersonal relationships."
InstitutionalCollectivism,High,UserHigher,Red,"You place significantly more emphasis on collective resource distribution than the target culture. Action: Focus on personal responsibility and merit-based rewards. Be prepared for less institutional intervention in business and social affairs, and build your own professional safety nets."
InstitutionalCollectivism,High,UserLower,Red,"You place significantly more emphasis on individual autonomy than the target culture. Action: Support policies that promote collective welfare and resource sharing. Avoid advocating purely for individual gain, as this may be seen as selfish or disruptive to societal harmony."
InstitutionalCollectivism,Medium,UserHigher,Yellow,"You place more emphasis on collective distribution than the target culture. Action: Emphasize personal initiative and individual merit. Frame your arguments around how individual success drives overall progress."
InstitutionalCollectivism,Medium,UserLower,Yellow,"You place more emphasis on individual autonomy than the target culture. Action: Show support for community initiatives and shared goals. Frame your individual ambitions in a way that highlights how they also benefit the broader group."
InstitutionalCollectivism,Low,Aligned,Green,"Your approach to institutional collectivism aligns well with the target culture. You naturally understand their balance between individual autonomy and collective resource distribution. This will facilitate smooth strategic alignment."
InGroupCollectivism,High,UserHigher,Red,"You are significantly more loyal to your in-groups than the target culture. Action: Focus on building relationships based on mutual professional interest rather than deep, familial-style bonds. Understand that people here value personal freedom over deep group interdependence."
InGroupCollectivism,High,UserLower,Red,"You are significantly more independent than the target culture. Action: Invest heavily in building strong, loyal relationships with your team or family network. Show pride in your group's achievements and prioritize group harmony over your individual preferences."
InGroupCollectivism,Medium,UserHigher,Yellow,"You are more group-oriented than the target culture. Action: Assert your personal opinions and make independent decisions. You don't always need to consult the group or prioritize their needs over your own."
InGroupCollectivism,Medium,UserLower,Yellow,"You are more independent than the target culture. Action: Participate more actively in group rituals and social events. Show visible pride in your organization or family, and avoid isolating yourself from the collective."
InGroupCollectivism,Low,Aligned,Green,"Your level of in-group collectivism aligns well with the target culture. You naturally understand their balance between individual identity and group loyalty. This will facilitate smooth team integration."
GenderEgalitarianism,High,UserHigher,Red,"You are significantly more gender egalitarian than the target culture. Action: Be mindful of local customs regarding gender interactions. Respect traditional boundaries while subtly advocating for professional equality where appropriate, without imposing your views aggressively."
GenderEgalitarianism,High,UserLower,Red,"You are significantly less gender egalitarian than the target culture. Action: Strictly avoid making assumptions about someone's role or competence based on their gender. Treat all colleagues equally, use gender-neutral language, and support policies that promote gender parity."
GenderEgalitarianism,Medium,UserHigher,Yellow,"You are more gender egalitarian than the target culture. Action: Observe local gender dynamics carefully. Build relationships respectfully and avoid direct confrontation regarding traditional gender roles."
GenderEgalitarianism,Medium,UserLower,Yellow,"You are less gender egalitarian than the target culture. Action: Ensure equal speaking time in meetings, actively challenge any unconscious bias you might hold, and treat all colleagues strictly based on their professional merit."
GenderEgalitarianism,Low,Aligned,Green,"Your views on gender egalitarianism align well with the target culture. You naturally understand their approach to gender roles and equality. This will facilitate smooth, respectful professional interactions."
PowerDistance,High,UserHigher,Red,"You expect significantly more hierarchy than the target culture. Action: Flatten your approach. Avoid deferring excessively to senior figures or expecting special treatment based on your position. Speak up in meetings regardless of rank, use first names if invited, and treat everyone as equals. Do not expect formal protocols to carry weight here."
PowerDistance,High,UserLower,Red,"You are significantly more egalitarian than the target culture. Action: Show explicit respect for seniority and titles. Wait to be invited to speak or sit. Never publicly contradict a superior or challenge their authority. Use formal address (titles, surnames) until explicitly invited otherwise. Understand that hierarchy is not optional here—it is the foundation of how things work."
PowerDistance,Medium,UserHigher,Yellow,"You expect more hierarchy than the target culture. Action: Flatten your approach. Encourage open dialogue and feedback from junior team members. Reduce formal protocols and be more accessible and approachable than you normally would."
PowerDistance,Medium,UserLower,Yellow,"You are more egalitarian than the target culture. Action: Show more deference to senior figures. Use titles and formal address. Acknowledge hierarchy in decision-making. Do not assume you can bypass the chain of command or speak freely to anyone regardless of rank."
PowerDistance,Low,Aligned,Green,"Your power orientation is closely aligned with the target culture. You naturally understand their approach to authority, titles, and decision-making. This will facilitate smooth professional interactions and reduce friction."
UncertaintyAvoidance,High,UserHigher,Red,"You expect significantly more structure and rules than the target culture. Action: Practice tolerating ambiguity and flexible procedures. Avoid insisting on rigid protocols or detailed advance planning, as locals may view this as bureaucratic, inflexible, or lacking adaptability."
UncertaintyAvoidance,High,UserLower,Red,"You are significantly more comfortable with ambiguity than the target culture. Action: Provide detailed plans, clear procedures, and comprehensive documentation. Avoid improvisation or last-minute changes without consultation, as these may create anxiety and be perceived as unprofessional or unreliable."
UncertaintyAvoidance,Medium,UserHigher,Yellow,"You expect more structure than the target culture. Action: Soften your reliance on strict rules. Allow for more spontaneous decision-making and be more flexible when plans change unexpectedly."
UncertaintyAvoidance,Medium,UserLower,Yellow,"You are more comfortable with ambiguity than the target culture. Action: Take time to understand formal procedures before acting. Ask for clarification rather than assuming flexibility, and provide advance notice of any changes."
UncertaintyAvoidance,Low,Aligned,Green,"Your comfort with uncertainty aligns well with the cultural norms of the target culture. You naturally understand their balance between structure and flexibility. This will facilitate smooth project management and risk assessment."
